fips,T001_001,T002_002,T002_003,T004_002,T004_003,T007A004,T007A005,T007A006,T007A009,T012_001,T012_002,T013_002,T013_003,T013_005,T014_010,T017_001,T017_002,T017_006,T017_009,T151_001,T151_002,T151_003,T152_001,T152_002,T152_003,T030_001,T030_002,T033_001,T033_002,T033_006,T033_007,T034_001,T034_002,T034_006,T034_007,T056A001,T056A004,T056A008,T056A012,T057_001,T095_001,T095_003,T117_001,T117_005,T117_007,T134_001,T134_002,T134_003,T134_004,T134_005,T145_001,T145_002,year
01001,54590,91.834938,594.436088506974,26538,28052,11885,14637,19446,42051,37,36.200001,43084,9880,439,1310,19934,14258,2756,2823,16684,2500,14184,18460,2732,15728,3610,107,41800,27107,2262,14693,19985,14446,1152,5539,19934,3041,7320,13016,53773,22077,2143,54255,4089,38532,756,0,348,159,249,53571,5159,2012
01003,183226,115.2521,1589.78407004202,89270,93956,34953,42110,55955,127465,41.200001,40.099998,158259,17016,1347,7915,72751,52117,8238,11282,60898,7917,52981,66373,6875,59498,9130,553,146042,88882,7513,57160,70658,47596,3908,23062,72751,11937,28587,49584,50706,103984,31233,180970,17515,122000,6835,480,3166,1551,1638,181069,26201,2012
01005,27469,31.042761,884.876303673994,14749,12720,4966,6002,8487,19890,38.200001,36.299999,13448,12645,212,1365,9423,6394,1843,1717,10112,3017,7095,8870,1996,6874,1292,152,22156,10617,1436,11539,11949,5385,810,6564,9423,3334,5484,7903,31889,11878,2455,24530,3568,11985,778,7,456,229,86,24530,4149,2012
01007,22769,36.571869,622.582331655591,12154,10615,4395,5288,7251,17119,39.400002,39.299999,17459,4953,25,419,7386,5488,1114,837,8332,2373,5959,7186,1329,5857,1211,131,18137,9621,1006,8516,9787,5461,454,4326,7386,2067,3863,5893,36824,8958,1572,21794,3681,11990,285,15,110,143,17,21803,3225,2012
01009,57466,89.125542,644.775904753227,28489,28977,11530,13999,18763,41581,39.099998,37.599998,54507,754,97,4646,21031,15590,1890,3049,18855,4928,13927,19848,4491,15357,3145,192,45199,26324,2635,18875,22162,14649,1574,7513,21031,4173,9307,15817,45192,23761,2730,56993,6736,35904,2705,34,1084,983,604,57040,7479,2012
01011,10779,17.30719,622.804775929464,5996,4783,1959,2383,3204,7901,40.700001,39,3028,7609,0,623,3740,2414,893,617,4240,1271,2969,3335,978,2357,443,0,8685,4762,681,3923,4834,2732,280,2102,3740,1077,2120,3072,34500,4501,761,10313,1849,4794,492,247,99,23,123,10313,1490,2012
01013,20730,26.685419,776.828630866243,9738,10992,4169,4976,6649,14429,40.299999,38.700001,11380,8961,183,203,8149,5380,1648,1758,6331,1657,4674,7750,1684,6066,1000,53,16282,9078,1249,7204,7476,4396,726,3080,8149,2877,4890,6906,30752,9973,1824,20463,3090,9289,271,0,118,68,85,20494,3278,2012
01015,117834,194.48801,605.867678151405,56686,61148,22358,26868,39531,85640,38.700001,36.599998,88405,24421,827,3838,45764,30453,6661,8742,36588,7850,28738,41715,8753,32962,6778,508,93980,54173,7151,39807,44397,28637,3499,15760,45764,12447,22835,35724,40093,53293,7529,114887,12895,65616,2819,51,1225,548,995,116426,16350,2012
01017,34228,57.378368,596.531443388927,16232,17996,6394,7807,10607,23769,41.400002,39.900002,20171,13409,178,555,13634,9002,2339,2564,10884,3267,7617,12737,2927,9810,1750,167,27364,15488,2485,11876,12806,7855,1313,4951,13634,4447,8035,11444,32181,17000,3366,33785,4554,17875,402,59,286,41,16,33872,5469,2012
01019,25917,46.80695,553.699825636258,12748,13169,4380,5340,7414,17244,44.299999,43.5,24074,1253,78,333,11758,8554,1269,1642,8974,2015,6959,9529,2226,7303,1069,183,21045,11613,1213,9432,10173,6414,513,3759,11758,3109,6202,9196,36241,16168,4410,25440,2624,14840,198,0,71,29,98,25458,2909,2012
01021,43611,62.944,692.854014767636,21490,22121,9013,10886,14666,32324,37.599998,36.700001,37872,4314,97,3238,16293,11964,2191,2156,14033,3623,10410,14912,3400,11512,2302,100,34004,20299,2300,13705,16697,11389,1117,5308,16293,3732,7973,12451,40834,19240,2947,43197,5704,25505,2041,20,1143,661,217,43284,7052,2012
01023,13838,15.14833,913.500300387492,6696,7142,2535,3117,4221,9297,44,42.5,7670,5935,30,83,5303,3475,966,1000,4472,1278,3194,5145,1210,3935,784,61,11104,5349,836,5755,5220,2852,344,2368,5303,1728,2990,4339,35123,7301,1998,13668,1634,7692,45,0,16,11,18,13706,1810,2012
01025,25768,20.8064,1238.46504308128,12181,13587,5129,6398,8554,18344,39.900002,39.799999,14015,11310,94,183,9321,6407,1573,1745,7954,1613,6341,9260,2103,7157,1517,70,20186,10389,1735,9797,9395,5423,1021,3972,9321,3240,5351,7563,30954,12632,3311,25537,2605,13608,147,0,66,26,55,25542,4352,2012
01027,13828,22.89551,603.9612106310919,6786,7042,2629,3127,4155,9533,41.700001,39.900002,11332,2157,0,401,5734,3902,680,982,4582,1330,3252,5091,1169,3922,639,79,11027,5991,699,5036,5330,3182,361,2148,5734,1728,3173,4725,34556,6762,1028,13513,2051,6763,260,0,235,25,0,13534,1996,2012
