"Subsidies"
"Industry Specialization Index (Location Quotient)" 
"Bureau of Economic Analysis" 
""
"Fips","Area","IndCode","Industry","2005","2010","2015"
"01000","Alabama","1","All industry total","(NM)","(NM)","(NM)"
"01000","Alabama","2","  Private industries","(NM)","(NM)","(NM)"
"01000","Alabama","3","    Agriculture, forestry, fishing, and hunting","(NM)","(NM)","(NM)"
"01000","Alabama","4","      Farms","(NM)","(NM)","(NM)"
"01000","Alabama","5","      Forestry, fishing, and related activities","(NM)","(NM)","(NM)"
"01000","Alabama","6","    Mining","(NM)","(NM)","(NM)"
"01000","Alabama","7","      Oil and gas extraction","(NM)","(NM)","(NM)"
"01000","Alabama","8","      Mining, except oil and gas","(NM)","(NM)","(NM)"
"01000","Alabama","9","      Support activities for mining","(NM)","(NM)","(NM)"
"01000","Alabama","10","    Utilities","(NM)","(NM)","(NM)"
"01000","Alabama","11","    Construction","(NM)","(NM)","(NM)"
"01000","Alabama","12","    Manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","13","      Durable goods manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","14","        Wood products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","15","        Nonmetallic mineral products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","16","        Primary metals manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","17","        Fabricated metal products","(NM)","(NM)","(NM)"
"01000","Alabama","18","        Machinery manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","19","        Computer and electronic products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","20","        Electrical equipment, appliance, and components manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","21","        Motor vehicles, bodies and trailers, and parts manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","22","        Other transportation equipment manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","23","        Furniture and related products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","24","        Miscellaneous manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","25","      Nondurable goods manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","26","        Food and beverage and tobacco products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","27","        Textile mills and textile product mills","(NM)","(NM)","(NM)"
"01000","Alabama","28","        Apparel and leather and allied products manufacturing","(NM)","(NM)","(NM)"
"01000","Alabama","29","        Paper products manufacturing","(NM)","(NM)","(NM)"
