CITY and STATE,ZIP5p4,ZIP5
"Seattle, WA",,
"Scottsdale, AZ",,
"San Francisco, CA",,
"Reno, NV",,
"Racine, WI",,
"Phoenix, AZ",,
"Okanogan, WA",,
"Los Lunas, NM",,
"Kingman, AZ",,
"Iowa City, IA",,
"Durham, NC",,
"Beloit, WI",,
"San Jose, CA ",95122,95122
"Bloomington, IN ",47401,47401
"Santa Ana, CA ",92701,92701
"San Jose, CA ",95112,95112
"Tacoma, WA ",98405,98405
"Colfax, WA ",99111,99111
"Tesuque, NM ",87574,87574
"Atlanta, GA ",30314-0670,30314
"Oakland, CA ",94601,94601
"Baton Rouge, LA ",70874,70874
"Burlington, VT ",05402,05402
"Albuquerque, NM ",87125-0445,87125
"Mahnomen, MN ",56557,56557
"Philadelphia, PA ",19110,19110
"Willimantic, CT ",6226,6226
"Bloomington, IN ",47408,47408
"Atlantic City, NJ ",08401,08401
"Wheeling, WV ",26003,26003
"Hempstead, NY ",11550,11550
"Wheeling, WV ",26003,26003
"Berkeley, CA ",94702,94702
"Oakland, CA ",94601,94601
"Tacoma, WA ",98404,98404
"San Jose, CA ",95125,95125
"Claremont, NH ",03101,03101
"Richmond, CA ",94801,94801
"Los Angeles, CA ",90057,90057
"Far Rockaway, NY ",11691,11691
"Santa Barbara, CA ",93101,93101
"San Jose, CA ",95126,95126
"Bronx, NY ",10459,10459
"Oakland, CA ",94607,94607
"Los Angeles, CA ",90059,90059
"Fresno, CA ",93706,93706
"San Rafael, CA ",95901,95901
"Eureka, CA ",95501,95501
"Harrodsburg, KY ",40330,40330
"San Martin, CA ",95046,95046
"Augusta, ME ",04330,04330
"Santa Rosa, CA ",95404,95404
"Scottsburg, IN ",47170,47170
"San Diego, CA ",92102,92102
"Belleville, IL ",62220,62220
"Asotria, OR ",97103,97103
"Asbury Park, NJ ",07712,07712
"Grand Junction, CO ",81501,81501
"Columbia, KY ",42728,42728
"Brooklyn, NY ",11217,11217
"Boston, MA ",02118,02118
"Boston, MA ",02118,02118
"Albuquerque, NM ",87107,87107
"Bridgeport, CT ",06608,06608
"Tucson, AZ ",85757,85757
"Gilroy, CA ",95020,95020
"Roxboro, NC ",27573,27573
"Toledo, OH ",43604,43604
"Morehead, KY ",40351,40351
"San Francisco, CA ",94109,94109
"San Diego, CA ",92101,92101
"Portland, OR ",97203,97203
"Reseda, CA ",91335,91335
"Huntington, WV ",25701,25701
"Vienna, WV ",26105,26105
"White River Junction, VT ",05001,05001
"Honolulu, HI ",96813,96813
"Newark, OH ",43055,43055
"Sunnyvale, CA ",94086,94086
"Lexington, KY ",40508,40508
"Winston-Salem, NC ",27101,27101
"Syracuse, NY ",13204,13204
"Toledo, OH ",43604,43604
"Miami, FL ",33147-7904,33147
"Lafayette, IN ",47901,47901
"Denver, CO ",80220,80220
"Los Angeles, CA ",90026,90026
"Albuquerque, NM ",87110,87110
"Kelso, WA ",98626,98626
"Kelso, WA ",98626,98626
"Woodside, NY ",11377,11377
"Espanola, NM ",87532,87532
"Norwalk, CT ",06850,06850
"Las Vegas, NV ",89107,89107
"Portsmouth, OH ",45662-3919,45662
"Santa Fe, NM ",87505,87505
"Venice, CA ",90291,90291
"Hauppauge, NY ",11788,11788
"Heber City, UT ",84032,84032
"Hermiston, OR ",97838,97838
"Madison, WI ",53703,53703
"Fairborn, OH ",45324,45324
"Oakland, CA ",94607,94607
"New York, NY ",10033,10033
"Kankakee, IL ",60901,60901
"San Francisco, CA ",94117,94117
"Providence, RI ",02907,02907
"Asheville, NC ",28803,28803
"Chicago, IL ",60640,60640
"Langley, WA ",98260,98260
"Roseburg, OR ",97471,97471
"New Haven, CT ",06519,06519
"Tacoma, WA ",98402,98402
"Los Angeles, CA ",90022,90022
"Corvallis, OR ",97339-0579,97339
"Minneapolis, MN ",55403,55403
"Fort Wayne, IN ",46806,46806
"Columbus, OH ",43215,43215
"Nashville, TN ",37206,37206
"Inglewood, CA ",90302,90302
"Fort Wayne, IN ",46803,46803
"Fort Wayne, IN ",46806,46806
"Camden, NJ ",08102,08102
"New Orleans, LA ",70116,70116
"Eau Claire, WI ",54701,54701
"Ithaca, NY ",14850,14850
"Salt Lake City, UT ",84044,84044
"W Sacramento, CA ",95605,95605
