EIN,FisYr,NAME,STATE,zip5,SUBSECCD,hospfclt_cnt,hrow,fclt_num,fclty_name,fclty_zip,type_of_fclty,chna_cndct,chna_descr,nds_assmnt_cndct,tk_into_acct,oth_fclt,chna_wdly_avlbl,chna_public,nds_addrssd,all_nds_addrssd,org_incr_exc_tx,fil_4720_rprt_exc_tx,exc_rprt_4720_all_amt,elgbl_crtr_explnd,uss_fpg_fr,fpg_fr_pct,uss_fpg_dscntd,fpg_dscnt_pct,explns_bss,bss_for_amts,explns_applctn_mthd,inclds_pblcty_msrs,how_msrs_pblczd,actns_nnpymnt,nnpymnt_actn_mthds,coll_acty,coll_acty_mthds,pre_coll_acty,nndscrm_emrgncy_cr_plcy,rsn_no_nndscrm_plcy,max_amt_dtrmnd,amt_gnrlly_blld,gr_chrg
"980041019","2012","INTL CTR FOR DIARRHOEAL RESEARCH-BANGLADESH","AO","99990","03","3","1","1","DHAKA HOSPITAL","99990","7","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","","Y","Y","","Y","","Y","","","Y","","","Y","Y"
"980041019","2012","INTL CTR FOR DIARRHOEAL RESEARCH-BANGLADESH","AO","99990","03","3","2","2","MATLAB HOSPITAL","99990","7","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","","Y","Y","","Y","","Y","","","Y","","","Y","Y"
"980041019","2012","INTL CTR FOR DIARRHOEAL RESEARCH-BANGLADESH","AO","99990","03","3","3","3","MIRPUR TRATMENT CENTRE","99990","7","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","","Y","Y","","Y","","Y","","","Y","","","Y","Y"
"986000974","2012","THE AMERICAN BRITISH COWDRAY MEDICAL CENTER IAP","AO","99990","03","2","1","1","AMERICAN BRITISH COWDRAY MEDICAL CENTER OBSERVATORIO","","2","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","7","Y","Y","","Y","","Y","","","Y","","","Y","Y"
"986000974","2012","THE AMERICAN BRITISH COWDRAY MEDICAL CENTER IAP","AO","99990","03","2","2","2","AMERICAN BRITISH COWDRAY MEDICAL CENTER SANTA FE","","2","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","7","Y","Y","","Y","","Y","","","Y","","","Y","Y"
"980000061","2012","AMERICAN HOSPITAL OF PARIS","AO","99990","03","1","1","1","AMERICAN HSOPITAL OF PARIS","99990","12467","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","","Y","","Y","12348","Y","Y","67","Y","","Y","","5","Y","","4","Y","Y"
"160743226","2012","WOMAN'S CHRISTIAN ASSOCIATION HOSPITAL","NY","14702","03","1","1","1","1 WCA HOSPITAL","14702","127","Y","12345678","10","Y","Y","Y","12","12345678","Y","Y","Y","0","Y","Y","300","Y","","Y","14567","Y","Y","67","Y","1235","Y","1235","1234","Y","","4","Y","Y"
"570359174","2012","ANMED HEALTH","SC","29621","03","2","1","1","ANMED HEALTH MEDICAL CENTER","29621","1247","Y","123456789","12","Y","Y","Y","1","12578","Y","Y","Y","0","Y","Y","200","Y","","Y","12","Y","Y","267","Y","","Y","","","Y","","4","Y","Y"
"570359174","2012","ANMED HEALTH","SC","29621","03","2","2","2","ANMED HEALTH WOMEN'S CHILDREN HOSP","29621","1234","Y","123456789","12","Y","Y","Y","1","12578","Y","Y","Y","0","Y","Y","200","Y","","Y","12","Y","Y","267","Y","","Y","","","Y","","4","Y","Y"
"741356589","2012","ST DAVID'S FOUNDATION","TX","78704","03","4","1","1","ST DAVIDS MEDICAL CENTER","78705","127","Y","","","Y","Y","Y","","","Y","Y","Y","0","Y","Y","200","Y","500","Y","12345678","Y","Y","13456","Y","","Y","","1234","Y","","4","Y","Y"
